date,home_team,scroe,away_team
16-01-2021,Pordenone,2 - 0,Venezia
23-01-2021,Nuova Cosenza,0 - 0,Pordenone
30-01-2021,Pordenone,1 - 1,Lecce
06-02-2021,Pordenone,1 - 2,Vicenza Virtus
09-02-2021,Spal,1 - 3,Pordenone
13-02-2021,Pordenone,0 - 1,Cittadella
21-02-2021,Reggina,1 - 0,Pordenone
27-02-2021,Pordenone,1 - 1,Ascoli
02-03-2021,Chievo,3 - 0,Pordenone
06-03-2021,Monza,2 - 0,Pordenone
13-03-2021,Pordenone,0 - 0,Pescara
16-03-2021,Empoli,1 - 0,Pordenone
02-04-2021,Brescia,4 - 1,Pordenone
05-04-2021,Pordenone,3 - 0,Virtus Entella
10-04-2021,Cremonese,2 - 1,Pordenone
17-04-2021,Pordenone,2 - 0,Frosinone
24-04-2021,Pordenone,2 - 2,Pisa
01-05-2021,Reggiana,1 - 0,Pordenone
04-05-2021,Pordenone,1 - 2,Salernitana
07-05-2021,Venezia,0 - 0,Pordenone
10-05-2021,Pordenone,2 - 0,Nuova Cosenza
27-09-2020,Reggiana,2 - 2,Pisa
03-10-2020,Virtus Entella,0 - 2,Reggiana
17-10-2020,Reggiana,0 - 1,Chievo
20-10-2020,Ascoli,2 - 1,Reggiana
08-11-2020,Reggiana,2 - 1,Venezia
21-11-2020,Lecce,7 - 1,Reggiana
29-11-2020,Reggiana,1 - 1,Cremonese
06-12-2020,Reggiana,3 - 0,Monza
12-12-2020,Nuova Cosenza,0 - 1,Reggiana
15-12-2020,Reggiana,1 - 2,Frosinone
19-12-2020,Brescia,3 - 1,Reggiana
22-12-2020,Empoli,0 - 0,Reggiana
27-12-2020,Reggiana,0 - 1,Reggina
30-12-2020,Pordenone,3 - 0,Reggiana
04-01-2021,Reggiana,0 - 1,Pescara
09-01-2021,Reggiana,0 - 2,Cittadella
18-01-2021,Spal,2 - 0,Reggiana
23-01-2021,Reggiana,2 - 1,Vicenza Virtus
30-01-2021,Pisa,1 - 0,Reggiana
07-02-2021,Reggiana,2 - 1,Virtus Entella
10-02-2021,Chievo,1 - 0,Reggiana
14-02-2021,Reggiana,1 - 0,Ascoli
20-02-2021,Cittadella,0 - 3,Reggiana
26-02-2021,Reggiana,0 - 0,Salernitana
01-03-2021,Venezia,2 - 1,Reggiana
07-03-2021,Reggiana,0 - 4,Lecce
13-03-2021,Cremonese,3 - 0,Reggiana
16-03-2021,Monza,2 - 0,Reggiana
20-03-2021,Reggiana,1 - 1,Nuova Cosenza
02-04-2021,Frosinone,0 - 0,Reggiana
05-04-2021,Reggiana,2 - 2,Brescia
